,Rank,Word,WPM,Raw,Accuracy,Amt. Typed,Rel. (%)
,102,such,205.00,205.00,1.00,1,97.69
,103,work,203.44,203.44,1.00,2,96.95
,104,govern,203.00,203.00,1.00,1,96.74
,105,against,202.99,202.99,1.00,3,96.74
,106,thing,202.95,202.95,1.00,4,96.72
,107,other,201.06,201.06,1.00,5,95.82
,108,long,201.00,201.00,1.00,1,95.79
,109,now,201.00,201.00,1.00,1,95.79
,110,during,149.65,199.53,0.75,4,95.09
,111,how,197.86,197.86,1.00,3,94.29
,112,call,197.47,197.47,1.00,2,94.11
,113,that,197.47,197.47,1.00,2,94.11
,114,develop,197.00,197.00,1.00,1,93.88
,115,one,196.76,196.76,1.00,4,93.77
,116,state,195.70,195.70,1.00,6,93.26
,117,present,195.40,195.40,1.00,2,93.12
,118,think,195.00,195.00,1.00,1,92.93
,119,could,194.00,194.00,1.00,1,92.45
,120,show,194.00,194.00,1.00,1,92.45
,121,tell,194.00,194.00,1.00,1,92.45
,122,over,193.96,193.96,1.00,2,92.43
,123,people,193.21,193.21,1.00,3,92.07
,124,when,193.00,193.00,1.00,1,91.97
,125,child,192.17,192.17,1.00,3,91.58
,126,plan,189.74,189.74,1.00,2,90.42
,127,new,189.00,189.00,1.00,1,90.07
,128,for,188.23,188.23,1.00,4,89.70
,129,not,94.10,188.19,0.50,2,89.68
,130,well,188.00,188.00,1.00,1,89.59
,131,interest,187.00,187.00,1.00,1,89.12
,132,even,186.47,186.47,1.00,2,88.86
,133,face,183.93,183.93,1.00,3,87.65
,134,another,183.00,183.00,1.00,1,87.21
,135,into,0.00,183.00,0.00,1,87.21
,136,should,182.12,182.12,1.00,4,86.79
,137,because,180.62,180.62,1.00,2,86.08
,138,down,180.26,180.26,1.00,3,85.90
,139,any,90.05,180.10,0.50,2,85.83
,140,and,180.00,180.00,1.00,1,85.78
,141,keep,180.00,180.00,1.00,1,85.78
,142,just,178.00,178.00,1.00,1,84.83
,143,you,177.59,177.59,1.00,2,84.63
,144,these,176.22,176.22,1.00,3,83.98
,145,make,176.20,176.20,1.00,3,83.97
,146,hand,173.49,173.49,1.00,2,82.68
,147,little,173.00,173.00,1.00,1,82.44
,148,problem,172.91,172.91,1.00,2,82.40
,149,go,172.08,172.08,1.00,3,82.01
,150,increase,171.50,171.50,1.00,2,81.73
,151,own,171.00,171.00,1.00,2,81.49
,152,end,170.52,170.52,1.00,5,81.26
,153,where,170.21,170.21,1.00,3,81.11
,154,come,170.01,170.01,1.00,3,81.02
,155,be,170.00,170.00,1.00,1,81.01
,156,to,112.83,169.24,0.67,3,80.65
,157,must,167.00,167.00,1.00,1,79.58
,158,stand,167.00,167.00,1.00,1,79.58
,159,do,165.16,165.16,1.00,2,78.71
,160,very,165.00,165.00,1.00,2,78.63
,161,possible,164.61,164.61,1.00,2,78.45
,162,or,163.97,163.97,1.00,4,78.14
,163,never,163.21,163.21,1.00,6,77.78
,164,number,163.00,163.00,1.00,1,77.68
,165,might,160.94,160.94,1.00,2,76.70
,166,a,160.03,160.03,1.00,3,76.26
,167,she,159.38,159.38,1.00,2,75.95
,168,like,157.50,157.50,1.00,2,75.06
,169,all,156.25,156.25,1.00,3,74.46
,170,between,156.00,156.00,1.00,1,74.34
,171,seem,155.04,155.04,1.00,3,73.88
,172,follow,153.30,153.30,1.00,2,73.06
,173,many,153.00,153.00,1.00,1,72.91
,174,take,152.49,152.49,1.00,4,72.67
,175,change,75.78,151.56,0.50,2,72.23
,176,without,149.42,149.42,1.00,3,71.21
,177,much,148.30,148.30,1.00,2,70.67
,178,off,148.19,148.19,1.00,4,70.62
,179,about,145.56,145.56,1.00,2,69.37
,180,want,97.03,145.54,0.67,3,69.36
,181,of,145.00,145.00,1.00,1,69.10
,182,right,144.86,144.86,1.00,2,69.03
,183,school,141.48,141.48,1.00,2,67.42
,184,look,136.97,136.97,1.00,3,65.27
,185,fact,136.54,136.54,1.00,2,65.07
,186,see,135.02,135.02,1.00,3,64.34
,187,get,132.00,132.00,1.00,1,62.91
,188,lead,130.00,130.00,1.00,1,61.95
,189,but,129.00,129.00,1.00,1,61.48
,190,after,124.00,124.00,1.00,1,59.09
,191,at,123.14,123.14,1.00,2,58.68
,192,good,121.00,121.00,1.00,1,57.66
,193,will,115.78,115.78,1.00,3,55.18
,194,home,64.00,64.00,1.00,1,30.50
,195,by,53.46,53.46,1.00,3,25.48
,,course,,,,,
,,eye,,,,,
,,line,,,,,
,,order,,,,,
