,Rank,Word,WPM,Raw,Accuracy,Amt. Typed,Rel. (%)
,,between,,,,,
,,call,,,,,
,,school,,,,,
,,same,,,,,
,,another,,,,,
,,begin,,,,,
,,while,,,,,
,,number,,,,,
,,part,,,,,
,,leave,,,,,
,,might,,,,,
,,want,,,,,
,,off,,,,,
,,few,,,,,
,,since,,,,,
,,open,,,,,
,,public,,,,,
,,again,,,,,
,,possible,,,,,
,,head,,,,,
,,lead,,,,,
,,set,,,,,
,,order,,,,,
,,eye,,,,,
,,keep,,,,,
,,stand,,,,,
